u	c	t0v15	t1v15	t2v15	t3v15	t4v15	t5v15	t6v15	t7v15	t8v15	t9v15	
1	1	310.346	311.342	1809.353	735.362	319.870	245.711	590.124	421.502	1032.213	462.598	
1	2	367.196	435.662	481.608	300.542	554.555	300.072	296.365	490.560	536.556	611.840	
1	3	219.328	268.420	330.565	438.748	162.397	107.360	304.046	240.331	309.272	138.245	
1	4	213.181	236.864	272.661	288.152	343.447	180.659	307.229	296.051	340.623	416.341	
1	5	350.671	459.531	767.528	315.922	731.474	571.941	440.716	271.048	754.495	256.825	
1	6	413.517	352.273	618.167	427.733	236.058	337.658	652.710	441.228	513.761	681.863	
1	7	518.019	157.734	236.680	268.262	151.929	200.199	137.918	269.748	643.967	212.283	
1	8	218.829	223.240	244.486	959.335	367.755	223.818	296.815	206.403	285.370	551.274	
2	1	763.345	263.719	289.852	431.602	265.983	336.333	342.582	299.751	483.856	316.575	
2	2	265.644	461.932	530.161	470.210	454.918	239.092	458.609	900.650	428.483	1047.877	
2	3	228.393	170.417	416.527	110.913	263.815	273.128	262.345	279.819	270.758	193.103	
2	4	280.834	407.280	442.564	663.502	263.323	841.214	497.038	342.471	336.329	507.543	
2	5	275.372	237.489	310.986	584.311	372.095	349.044	549.065	225.130	392.078	279.369	
2	6	242.828	456.060	395.405	450.327	406.302	585.823	416.545	219.520	297.286	370.876	
2	7	168.318	176.447	213.349	214.526	341.559	114.608	539.960	119.065	229.466	119.705	
2	8	246.090	449.077	344.775	265.238	274.879	567.556	405.824	499.153	289.384	528.458	
3	1	328.126	256.162	775.431	235.914	226.481	265.018	415.790	372.573	284.364	285.785	
3	2	238.991	237.298	343.258	226.879	308.048	248.177	240.599	378.089	211.957	303.693	
3	3	94.545	159.969	146.490	153.130	195.444	135.106	439.392	362.676	136.503	292.878	
3	4	165.705	235.344	360.345	120.254	199.024	280.294	155.884	232.601	231.942	85.420	
3	5	282.994	250.992	267.345	70.018	205.971	438.038	187.462	269.667	327.772	346.373	
3	6	391.701	265.269	190.741	478.724	208.750	316.169	347.829	260.441	293.660	259.620	
3	7	122.398	198.372	105.480	112.953	95.528	165.908	92.328	161.367	109.704	122.398	
3	8	475.983	626.908	225.173	319.440	262.907	258.233	206.956	219.706	237.292	85.015	
4	1	432.231	362.628	338.439	379.985	446.449	380.215	181.545	622.147	264.729	526.173	
4	2	330.523	391.524	680.275	546.934	674.060	336.452	234.561	237.746	211.083	284.472	
4	3	139.114	180.303	406.752	198.599	153.705	150.407	158.601	138.934	224.218	204.399	
4	4	222.815	671.503	285.301	509.694	565.991	186.438	304.849	333.924	506.662	748.325	
4	5	486.339	251.905	468.477	758.079	518.642	871.192	385.962	404.549	2069.756	460.170	
4	6	791.069	845.659	361.379	247.834	206.455	245.659	178.704	269.043	307.626	534.273	
