c0t0v5	c0t1v5	c0t2v5	c0t3v5	c0t4v5	c1t0v5	c1t1v5	c1t2v5	c1t3v5	c1t4v5	c2t0v5	c2t1v5	c2t2v5	c2t3v5	c2t4v5	c3t0v5	c3t1v5	c3t2v5	c3t3v5	c3t4v5	c4t0v5	c4t1v5	c4t2v5	c4t3v5	c4t4v5	c5t0v5	c5t1v5	c5t2v5	c5t3v5	c5t4v5	
0.973194	0.9774221	0.9794813	0.9747174	0.9785742	0.9810776	0.9847959	0.9947026	0.9833802	0.9930063	0.9708178	0.9952944	0.9873644	0.9825541	0.9781852	0.9813269	0.9798627	0.9754978	0.9795445	0.9862272	0.9786926	0.9826637	0.9758919	0.9875439	0.9870436	0.9703264	0.9809402	0.9762765	0.9929292	0.9955032	
0.9801347	0.9856603	0.9919848	0.980066	0.9672589	0.9689305	0.9961684	0.9802155	0.9822481	0.9735139	0.9814122	0.99619	0.985136	0.9833128	0.9934115	0.9858396	0.985455	0.9715851	0.9764873	0.9798458	0.9804764	0.984995	0.9903883	0.9828889	0.9904795	0.9855947	0.9783659	0.997825	0.9725457	0.9943237	
0.9728326	0.9705921	0.9737014	0.9930711	0.9725716	0.9825882	0.9794982	0.9904577	0.9810272	0.9913671	0.9790716	0.9674182	0.9701103	0.9787172	0.9853202	0.9850444	0.9721761	0.9975796	0.9819726	0.9907009	0.989711	0.9898181	0.9823566	0.9934466	0.993	0.9768872	0.992897	0.979099	0.9929791	0.988238	
0.9781699	0.977616	0.9744204	0.9958503	0.9917131	0.9800531	0.9802788	0.9866538	0.9893195	0.9687105	0.9786323	0.9772905	0.9924868	0.9690211	0.9867657	0.9782595	0.9878644	0.9871437	0.9740412	0.9814672	0.9687482	0.9822059	0.9848885	0.9867324	0.9754754	0.9872279	0.9830462	0.9743695	0.968724	0.9821484	
0.9810953	0.9684353	0.9761172	0.9922503	0.9702802	0.9916523	0.9772754	0.9677354	0.9667525	0.985523	0.9687256	0.9683961	0.9682364	0.9698089	0.9714409	0.986425	0.9852548	0.9777704	0.992071	0.9757115	0.9862333	0.9793581	0.9732879	0.9740947	0.970758	0.9910797	0.9865264	0.984219	0.9834345	0.9819557	
0.9827757	0.9783223	0.978211	0.9723003	0.984355	0.9919712	0.968058	0.985093	0.9875793	0.981375	0.9779792	0.99088	0.9839261	0.9901108	0.9854115	0.9851717	0.9941139	0.9804267	0.9906176	0.9917919	0.9832515	0.9792113	0.9958252	0.9735035	0.9794769	0.9861307	0.9848057	0.9925015	0.9750695	0.9870078	
0.9780746	0.9833599	0.9916704	0.9707903	0.9687597	0.969125	0.9913107	0.9760168	0.9704821	0.9870189	0.9675419	0.9823753	0.9919059	0.9746991	0.9928619	0.9712722	0.9710276	0.9760118	0.973025	0.9733663	0.9878758	0.9921129	0.9768518	0.9835973	0.9851413	0.97596	0.9814001	0.9729934	0.9846052	0.97797	
0.9717047	0.98451	0.9718388	0.9743475	0.9725307	0.996111	0.9880666	0.9804301	0.9838131	0.9768285	0.9951514	0.9978614	0.9911888	0.9853696	0.9971491	0.9776337	0.9865268	0.9834746	0.9828324	0.9722261	0.9714544	0.9712162	0.9737033	0.9744565	0.9754113	0.993417	0.9820616	0.9678593	0.9697359	0.9816874	
0.9705889	0.9833677	0.9885758	0.9834341	0.9867835	0.98602	0.9878473	0.9788018	0.9836263	0.9895967	0.9908265	0.9758991	0.9747108	0.9937325	0.9878379	0.9834923	0.9832943	0.9862492	0.9848433	0.9883193	0.9893849	0.9904828	0.9786716	0.9728497	0.986799	0.9836559	0.9964045	0.9888178	0.9841129	0.9853708	
0.9830861	0.970796	0.9807032	0.9808164	0.9797572	0.9893999	0.9750046	0.9791295	0.9853888	0.9757482	0.98606	0.9898589	0.9925781	0.9757627	0.9724651	0.9829453	0.9840865	0.9720741	0.983512	0.9915185	0.977933	0.9913249	0.992279	0.9829156	0.980556	0.9859944	0.9753632	0.9915522	0.9801515	0.9879642	
0.9767045	0.9785891	0.9678645	0.9807613	0.9896243	0.98861	0.9877362	0.9844222	0.9809299	0.9829989	0.9902027	0.9785328	0.9753205	0.9927598	0.9821514	0.990583	0.9849028	0.9764553	0.9717455	0.9846342	0.9805436	0.988682	0.9690616	0.9743246	0.9861823	0.9835605	0.9775052	0.9929062	0.9905587	0.9908594	
