c0t0v15	c0t1v15	c0t2v15	c0t3v15	c0t4v15	c1t0v15	c1t1v15	c1t2v15	c1t3v15	c1t4v15	c2t0v15	c2t1v15	c2t2v15	c2t3v15	c2t4v15	c3t0v15	c3t1v15	c3t2v15	c3t3v15	c3t4v15	c4t0v15	c4t1v15	c4t2v15	c4t3v15	c4t4v15	c5t0v15	c5t1v15	c5t2v15	c5t3v15	c5t4v15	
788.4848	1157.701	942.6846	700.8542	1349.905	383.4541	267.9948	357.3554	307.1546	528.3517	166.0513	238.9331	227.5357	186.5622	131.8841	955.242	1097.839	1306.114	957.629	1118.753	393.3698	503.995	381.1371	321.5836	335.3766	170.8781	368.8375	148.0903	244.0778	160.9258	
762.091	963.4083	1413.884	1166.608	1986.748	348.8243	440.5789	696.8815	511.1844	485.6909	373.1565	474.3643	181.4082	261.958	188.0356	1437.974	2073.468	1476.513	893.7436	964.181	424.6371	469.0374	599.7485	855.1118	424.2507	430.9417	409.39	406.362	250.415	144.0596	
971.2758	2066.959	1903.326	2761.741	1904.635	813.4114	656.2397	544.6516	544.1703	807.3356	601.1886	480.8448	475.9662	499.5507	1054.934	3561.032	1564.735	1071.302	1135.398	2935.591	1465.355	574.8489	640.9557	696.5601	684.4692	1010.016	496.4621	349.3141	317.6794	373.5714	
1010.865	707.055	1162.762	1446.364	931.8255	296.8312	294.651	500.9627	329.5251	356.488	520.2136	588.3463	582.2617	521.0815	350.5249	963.2585	2063.513	1035.614	826.824	1182.15	548.8539	506.1145	423.2312	761.8815	494.2842	248.1713	238.3076	147.8411	166.4896	322.8565	
1892.427	3579.972	2690.224	2133.269	2006.733	553.8707	820.997	531.5775	342.5045	409.8147	700.8436	455.5508	153.4706	372.321	211.7921	1964.12	1969.486	1488.843	3901.666	1930.807	705.7709	709.0468	840.1918	757.0838	2101.501	954.6583	553.0568	1007.524	1342.287	595.7055	
3425.455	1889.767	4489.649	1049.009	3720.415	741.6401	301.5767	494.0978	344.0139	766.467	706.0076	623.811	234.721	310.6451	496.7	4334.5	1762.502	1382.228	2056.667	1001.098	312.4477	460.1104	422.53	323.6638	447.4481	1168.771	249.1603	252.6962	343.9907	262.174	
2589.053	1306.435	1464.217	1338.728	1837.625	1335.199	790.0504	1363.731	852.1522	612.3194	670.1787	386.8879	1065.38	230.6154	342.5482	1652.504	1443.741	4338.615	2044.635	1425.499	609.92	484.9767	1091.763	2164.167	352.0424	549.0487	569.008	392.7445	510.0645	504.4123	
1422.027	1379.405	1116.333	1230.663	1135.996	819.1326	415.2589	746.126	483.7757	481.6292	381.0667	868.1329	466.6588	569.6808	328.7268	1284.342	1357.194	1346.979	877.0623	1925.853	600.6926	344.2412	730.0235	1098.016	730.9778	225.8512	200.6033	239.8509	224.2053	198.0716	
1134.388	1819.761	1048.829	1050.606	1647.232	545.3613	893.1827	594.08	760.6075	445.0863	156.0199	777.4429	639.7261	455.3722	378.3554	1476.444	1657.179	1357.466	1388.948	1696.229	412.6298	630.0166	412.5569	443.4228	543.0012	672.4253	432.1212	199.4605	321.3839	450.2316	
1092.097	924.9524	1475.157	1851.974	903.567	388.4681	511.4436	496.5371	613.863	460.1005	486.9247	371.0822	272.1288	283.376	226.9893	1216.594	1220.461	1317.904	2576.502	805.0768	968.1923	385.274	498.1221	509.4659	540.5326	271.3041	542.4277	319.9385	234.065	283.5818	
