user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
1	1	1	0	0	0	0	3.984123	5.722221	9.706345	0.9630264	0.04310737	40.80079	2.038664	1	0	1	1.004686	0.4165467	130.7797	101.5401	0.8002927	0.6891402	0.7391942	0.4126937	1	
1	1	2	0	0	0	0	0.7157669	13.95556	14.67133	0.9109861	0.02394142	98.61555	3.158343	0	1	1	0.4895974	0.9582817	69.51263	362.1075	0.9957619	0.198679	0.9654511	0.269649	1	
1	1	3	0	0	0	0	0.815506	10.42223	11.23773	0.9140261	0.01649049	144.4021	2.883416	0	1	1	0.4897933	0.7514318	98.74001	386.8295	0.9754577	0.2096927	0.9112716	0.3792141	1	
1	2	1	0	0	0	1	3.347748	6.977768	10.32552	0.9914394	0.02584121	55.60435	1.251151	1	2	3	0.8250949	0.3873657	151.6415	116.6586	0.6994327	0.5772027	0.5639564	0.4574427	1	
1	2	2	0	0	0	1	1.961548	9.400009	11.36156	0.9930561	0.02518076	106.8684	2.300581	1	3	4	0.6226576	0.6401699	88.17911	243.9694	0.9336022	0.3200841	0.7249653	0.4429771	1	
1	2	3	0	0	0	1	0.5936279	11.24445	11.83807	0.9527059	0.01559305	138.421	1.446693	0	4	4	0.5094795	0.845675	81.86357	451.0271	0.9925406	0.1967872	0.9257079	0.3060996	1	
1	3	1	0	0	1	0	1.502472	13.6778	15.18027	0.9998912	0.0259437	81.05798	1.580125	0	2	2	0.7170429	1.032864	97.36933	363.1868	0.8968322	0.1915077	0.6464754	0.2266359	1	
1	3	2	0	0	1	0	1.83609	12.83334	14.66943	0.9819363	0.02424349	117.9127	2.137256	0	2	2	0.6791016	0.9354692	144.6205	419.6634	0.8117162	0.279599	0.4626538	0.2773853	1	
1	3	3	0	0	1	0	4.714752	11.57776	16.29251	0.960208	0.03917948	49.05753	2.838821	1	1	2	0.9251548	0.7501373	361.581	174.8665	0.830644	0.1932814	0.4250365	0.273739	1	
1	4	1	0	0	1	1	1.534637	14.89999	16.43463	0.986012	0.01570059	91.25938	2.544526	0	4	4	0.6678813	1.053089	103.6922	450.6566	0.909513	0.277698	0.6550633	0.2021529	1	
1	4	2	0	0	1	1	0.8256226	12.74442	13.57004	0.8794116	0.009931911	103.5682	2.808048	0	2	2	0.5373766	0.8658983	69.39011	294.3617	0.9881013	0.0981527	0.8903628	0.3457782	1	
1	4	3	0	0	1	1	0.7108154	16.19998	16.9108	0.9051369	0.005815441	126.0664	0.296075	0	5	5	0.5536584	1.288895	81.84566	600.4992	1.003133	0.08702222	0.9616808	0.2096262	1	
1	5	1	0	1	0	0	1.095337	17.35556	18.4509	0.9900227	0.03755701	122.7874	2.184706	0	3	3	0.5883509	1.399949	82.75101	443.0619	0.8817025	0.1468212	0.3886152	0.1678689	1	
1	5	2	0	1	0	0	0.5969238	17.46667	18.0636	0.9505685	0.005590491	107.1244	1.06825	0	2	2	0.4475965	1.211014	60.46374	468.579	0.9912242	0.15371	0.9341313	0.1677922	1	
1	5	3	0	1	0	0	0.8889771	18.83331	19.72229	0.9961972	0.01736368	124.7404	2.169245	0	2	2	0.6405505	1.243733	89.19539	450.1119	0.9682309	0.2039548	0.9502181	0.2082968	1	
1	6	1	0	1	0	1	3.210571	11.96667	15.17725	1.15218	0.01697181	29.10239	3.321901	1	1	2	0.7925305	0.764114	214.992	215.3636	0.90084	0.3770226	0.3743352	0.1300468	1	
1	6	2	0	1	0	1	3.688782	8.699982	12.38876	0.9689296	0.02110878	96.75933	2.362686	1	3	4	0.9957352	0.5075927	270.7259	227.7898	0.7672045	0.3963992	0.2629701	0.3100164	1	
1	6	3	0	1	0	1	0.776825	12.07776	12.85458	0.9658881	0.01434006	130.8801	2.516066	0	3	3	0.5591751	0.7685717	78.96998	383.3724	0.9814573	0.2921163	0.9726858	0.2377264	1	
1	7	1	0	1	1	0	3.142426	15.28888	18.4313	0.9951236	0.00576369	69.4334	1.323504	1	1	2	0.7024539	0.98462	119.0165	153.1141	0.8620923	0.2886451	0.5879559	0.4835101	1	
1	7	2	0	1	1	0	1.311005	17.33334	18.64435	0.9769439	0.004045616	115.3553	1.393786	0	2	2	0.6576341	0.9668476	97.70099	374.9378	0.8676662	0.1998402	0.6887571	0.216611	1	
1	7	3	0	1	1	0	0.7690125	12.6778	13.44681	0.9618413	0.00949692	135.2123	1.729133	0	1	1	0.5247035	0.7219095	76.47573	269.9842	0.9918864	0.1723731	0.985498	0.3551798	1	
1	8	1	0	1	1	1	3.786087	14.88889	18.67497	1.2207	0.003527419	29.15495	1.2499	1	3	4	0.913487	0.7699085	310.0062	217.7764	0.7531615	0.3923257	0.290288	0.1206424	1	
1	8	2	0	1	1	1	1.622498	11	12.6225	0.9915435	0.0100404	98.49778	0.5747108	1	1	2	0.5832674	0.8044766	79.16937	202.9507	0.9524106	0.1997685	0.7183403	0.4306765	1	
1	8	3	0	1	1	1	0.6996613	13.16667	13.86633	0.8874764	0.007925922	128.3102	0.3690349	0	2	2	0.4954891	0.9041929	71.32982	352.1569	0.9932141	0.1120443	1.028783	0.2402505	1	
2	1	1	0	0	0	0	8.496216	26.8222	35.31842	1.771514	0.00697692	29.60288	3.710393	1	5	6	1.405001	1.207213	413.4011	312.5833	0.4162859	0.6445031	0.3146609	0.1010598	1	
2	1	2	0	0	0	0	8.116272	49.14447	57.26074	2.247186	0.09007826	29.2218	4.752552	3	6	9	0.850127	1.866343	278.3745	344.5364	0.8940685	0.5242469	0.465285	0.08345869	1	
2	1	3	0	0	0	0	2.211609	48.35559	50.5672	0.9838594	0.02908672	83.55048	3.93086	0	8	8	1.030826	1.634144	218.5951	522.5557	0.7488273	0.2251871	0.5315831	0.1574853	1	
2	2	1	0	0	0	1	6.44165	26.08887	32.53052	0.986747	0.04380615	79.66691	2.673825	1	3	4	1.102364	0.8203975	270.9094	276.7118	0.7338579	0.3563416	0.383351	0.285689	1	
2	2	2	0	0	0	1	3.236694	50.56665	53.80334	0.9918152	0.01719268	143.7888	4.69037	0	7	7	0.7905353	1.716445	262.3031	465.7661	0.9438334	0.190001	0.3705938	0.320125	1	
2	2	3	0	0	0	1	8.496826	18.80002	27.29684	3.147298	0.03660598	29.81907	4.354355	1	4	5	3.068992	1.083594	721.2773	264.6641	0.08940502	0.691303	0.1650398	0.09931835	1	
2	3	1	0	0	1	0	5.816803	32.34445	38.16125	5.012008	0.01086437	29.67189	2.605624	1	7	8	0.7842036	1.360032	266.4977	334.4577	0.6804498	0.7379473	0.4051882	0.09016184	1	
2	3	2	0	0	1	0	2.979797	35.84445	38.82425	0.9879398	0.00533536	120.4433	1.246137	0	5	5	2.026956	1.62268	349.1482	610.5142	0.1401751	0.1078469	0.1918065	0.1993276	1	
2	3	3	0	0	1	0	7.632843	32.46664	40.09949	0.9580132	0.0105867	125.6964	2.351062	1	6	7	0.9297017	1.795759	193.9436	890.8328	0.804757	0.1310422	0.5917165	0.1405508	1	
2	4	1	0	0	1	1	2.667664	31.22223	33.88989	0.998605	0.005681337	60.42431	2.199346	0	4	4	0.8784207	2.031177	195.7396	863.8612	0.7891105	0.05724318	0.4758981	0.06800328	1	
2	4	2	0	0	1	1	1.396484	30.59998	31.99646	0.9806252	0.02475463	105.235	1.7091	0	4	4	0.6238433	1.38659	132.6685	688.8418	0.875251	0.1342617	0.4496855	0.1503783	1	
2	4	3	0	0	1	1	4.62439	31.10004	35.72443	2.475328	0.01696401	29.86891	3.443621	1	4	5	1.302452	1.880099	456.2637	507.5334	0.7183554	0.2414022	0.3104143	0.05057137	2	
